0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("DE", "PAID", "B1G", "B1N", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("EA", "PAID", "B1G", "B1N", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("EA20", "PAID", "B1G", "B1N", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("EA20", "PAID", "B1G", "B1N", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("EA20", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("EA20", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=env_ac_pefasu	filters=c(laender, "USE", industrie)	date_filter=2019
0.20.6	id=NASQ_10_NF_TR	filters=c("DE", "PAID", "B1G", "B1N", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("DE", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B1G", "B1N", "B3G", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B1G", "B1N", "B3G", "B2A3G", "P51C", "D29X39", "NSA", "S11", "CP_MEUR")
0.20.6	id=NASQ_10_NF_TR	filters=c("AT", "PAID", "B3G", "D1", "B2A3G", "NSA", "S1", "CP_MEUR")
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
0.20.6	id=nama_10_A64	filters=c(num, "B1G", "CLV15_MEUR", industrie)	date_filter=2019
