0.20.6	id=nama_10_A64	filters=c(laender, "B1G", "CLV15_MEUR", industrie)	date_filter=2010
0.20.6	id=env_ac_pefasu	filters=c(laender, "USE", industrie, "N00_P00_R00")	date_filter=2010
0.22.1	id=nama_10_pc
0.22.1	id=nama_10_pc
0.22.1	id=nama_10_pc	filters=list(na_item = "B1GQ", unit = "CLV10_EUR_HAB", geo = c("EE", "LV", "LT"))	date_filter=2000:2022
0.22.1	id=nama_10_pc	filters=list(na_item = "B1GQ", unit = "CLV10_EUR_HAB", geo = c("EE", "LV", "LT"))	date_filter=2000:2022
0.22.1	id=tec00110	filters=list(na_item = "B1GQ", unit = "CLV10_EUR_HAB", geo = c("EE", "LV", "LT"))	date_filter=2000:2022
0.22.1	id=tec00115
0.22.1	id=tec00110
0.22.1	id=tec00115	filters=list(na_item = "B1GQ", unit = "CLV_PCH_PRE", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tec00110	filters=list(na_item = "P6", unit = "CP_MEUR", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tec00115
0.22.1	id=tec00115	filters=list(na_item = "B1GQ", unit = "CLV_PCH_PRE", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tec00115
0.22.1	id=tec00115
0.22.1	id=tec00115
0.22.1	id=tec00115
0.22.1	id=tec00115	filters=list(na_item = "B1GQ", unit = "CLV_PCH_PRE", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tec00115
0.22.1	id=tec00115
0.22.1	id=tec00115	filters=list(na_item = "B1GQ", unit = "CLV_PCH_PRE", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tec00115	filters=list(na_item = "B1GQ", unit = "CLV_PCH_PRE", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
0.22.1	id=tet00004
0.22.1	id=tet00004
0.22.1	id=tet00004	filters=list(na_item = "P7", unit = "PC_GDP", geo = c("EE", "LV", "LT"))	date_filter=2011:2022
